LocationAbbr,LocationDesc,LocationID,TopicID,DataSource,DataSourceUrl,Question,QuestionID,StratificationCategoryId,StratificationCategory,Stratification,StratificationID,YearStart,YearEnd,DataValue,LowConfidenceLimit,HighConfidenceLimit,DataValueDisplay,LowConfidenceLimitDisplay,HighConfidenceLimitDisplay,DataValueUnit,DataValueType,DataValueTypeID,DataValueFootnote,DataValueFootnoteSymbol,DisplayOrder
"US","United States","59","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,10.7,10.4,10.9,"10.7","10.4","10.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"US","United States","59","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,9.5,9.2,9.7,"9.5","9.2","9.7","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AL","Alabama","01","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,12.8,11.5,14.2,"12.8","11.5","14.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AL","Alabama","01","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,12,11,13.2,"12.00","11.00","13.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AK","Alaska","02","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,6.6,5.4,8.1,"6.6","5.4","8.1","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AK","Alaska","02","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,7.9,6.2,10,"7.9","6.2","10.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AZ","Arizona","04","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,10.5,9.2,11.9,"10.5","9.2","11.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AZ","Arizona","04","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,9.4,8.1,10.8,"9.4","8.1","10.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AR","Arkansas","05","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,12.5,11.1,14.1,"12.5","11.1","14.1","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AR","Arkansas","05","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,12.1,10.7,13.7,"12.1","10.7","13.7","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CA","California","06","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,10.2,9.4,11.2,"10.2","9.4","11.2","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CA","California","06","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,8.9,8.1,9.8,"8.9","8.1","9.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CO","Colorado","08","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,7,6.2,7.8,"7.00","6.2","7.8","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CO","Colorado","08","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,6.3,5.6,7.1,"6.3","5.6","7.1","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CT","Connecticut","09","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,9.3,8.3,10.4,"9.3","8.3","10.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CT","Connecticut","09","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,7.5,6.6,8.5,"7.5","6.6","8.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"DE","Delaware","10","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,12.5,10.6,14.6,"12.5","10.6","14.6","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"DE","Delaware","10","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2019,2019,9.8,8.3,11.6,"9.8","8.3","11.6","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"DC","District of Columbia","11","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2019,2019,9.7,8.1,11.5,"9.7","8.1","11.5","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
