LocationAbbr,LocationDesc,LocationID,TopicID,DataSource,DataSourceUrl,Question,QuestionID,StratificationCategoryId,StratificationCategory,Stratification,StratificationID,YearStart,YearEnd,DataValue,LowConfidenceLimit,HighConfidenceLimit,DataValueDisplay,LowConfidenceLimitDisplay,HighConfidenceLimitDisplay,DataValueUnit,DataValueType,DataValueTypeID,DataValueFootnote,DataValueFootnoteSymbol,DisplayOrder
"US","United States","59","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2021,2021,11.8,11.5,12.1,"11.8","11.5","12.1","%","Crude Prevalence","CRDPREV","","","5"
"US","United States","59","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2021,2021,11,10.7,11.3,"11.00","10.7","11.3","%","Crude Prevalence","CRDPREV","","","5"
"AL","Alabama","01","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2021,2021,14.4,12.6,16.4,"14.4","12.6","16.4","%","Crude Prevalence","CRDPREV","","","5"
"AL","Alabama","01","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2021,2021,15.7,14,17.5,"15.7","14.00","17.5","%","Crude Prevalence","CRDPREV","","","5"
"AK","Alaska","02","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2021,2021,8.8,7.3,10.5,"8.8","7.3","10.5","%","Crude Prevalence","CRDPREV","","","5"
"AK","Alaska","02","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2021,2021,7.9,6.6,9.3,"7.9","6.6","9.3","%","Crude Prevalence","CRDPREV","","","5"
"AZ","Arizona","04","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2021,2021,11.2,10.1,12.4,"11.2","10.1","12.4","%","Crude Prevalence","CRDPREV","","","5"
"AZ","Arizona","04","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2021,2021,10.9,9.8,12.1,"10.9","9.8","12.1","%","Crude Prevalence","CRDPREV","","","5"
"AR","Arkansas","05","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2021,2021,12.5,11,14.3,"12.5","11.00","14.3","%","Crude Prevalence","CRDPREV","","","5"
"AR","Arkansas","05","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Female","SEXF",2021,2021,12.4,11,13.9,"12.4","11.00","13.9","%","Crude Prevalence","CRDPREV","","","5"
"CA","California","06","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","SEX","Sex","Male","SEXM",2021,2021,11.5,10.2,13,"11.5","10.2","13.00","%","Crude Prevalence","CRDPREV","","","5"
