LocationAbbr,LocationDesc,LocationID,TopicID,DataSource,DataSourceUrl,Question,QuestionID,StratificationCategoryId,StratificationCategory,Stratification,StratificationID,YearStart,YearEnd,DataValue,LowConfidenceLimit,HighConfidenceLimit,DataValueDisplay,LowConfidenceLimitDisplay,HighConfidenceLimitDisplay,DataValueUnit,DataValueType,DataValueTypeID,DataValueFootnote,DataValueFootnoteSymbol,DisplayOrder
"US","United States","59","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age 18-44","AGE1844",2022,2022,3.6,3.4,3.8,"3.6","3.4","3.8","%","Crude Prevalence","CRDPREV","","","5"
"US","United States","59","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age 45-64","AGE4564",2022,2022,15.7,15.3,16.1,"15.7","15.3","16.1","%","Crude Prevalence","CRDPREV","","","5"
"US","United States","59","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age >=65","AGE65P",2022,2022,23.9,23.4,24.5,"23.9","23.4","24.5","%","Crude Prevalence","CRDPREV","","","5"
"AL","Alabama","01","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age 18-44","AGE1844",2022,2022,4.1,2.9,5.8,"4.1","2.9","5.8","%","Crude Prevalence","CRDPREV","","","5"
"AL","Alabama","01","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age 45-64","AGE4564",2022,2022,21.5,19,24.1,"21.5","19.00","24.1","%","Crude Prevalence","CRDPREV","","","5"
"AL","Alabama","01","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age >=65","AGE65P",2022,2022,28.6,25.7,31.6,"28.6","25.7","31.6","%","Crude Prevalence","CRDPREV","","","5"
"AK","Alaska","02","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age 18-44","AGE1844",2022,2022,2.9,2.2,4,"2.9","2.2","4.00","%","Crude Prevalence","CRDPREV","","","5"
"AK","Alaska","02","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age 45-64","AGE4564",2022,2022,10.9,9.2,12.9,"10.9","9.2","12.9","%","Crude Prevalence","CRDPREV","","","5"
"AK","Alaska","02","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age >=65","AGE65P",2022,2022,20.6,17.9,23.6,"20.6","17.9","23.6","%","Crude Prevalence","CRDPREV","","","5"
"AZ","Arizona","04","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age 18-44","AGE1844",2022,2022,4.1,3.1,5.5,"4.1","3.1","5.5","%","Crude Prevalence","CRDPREV","","","5"
"AZ","Arizona","04","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age 45-64","AGE4564",2022,2022,17,14.9,19.4,"17.00","14.9","19.4","%","Crude Prevalence","CRDPREV","","","5"
"AZ","Arizona","04","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age >=65","AGE65P",2022,2022,23.4,21.3,25.6,"23.4","21.3","25.6","%","Crude Prevalence","CRDPREV","","","5"
"AR","Arkansas","05","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age 18-44","AGE1844",2022,2022,5.4,4.1,7,"5.4","4.1","7.00","%","Crude Prevalence","CRDPREV","","","5"
"AR","Arkansas","05","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age 45-64","AGE4564",2022,2022,21.2,19,23.5,"21.2","19.00","23.5","%","Crude Prevalence","CRDPREV","","","5"
"AR","Arkansas","05","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age >=65","AGE65P",2022,2022,28.2,25.8,30.6,"28.2","25.8","30.6","%","Crude Prevalence","CRDPREV","","","5"
"CA","California","06","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age 18-44","AGE1844",2022,2022,3.6,2.8,4.5,"3.6","2.8","4.5","%","Crude Prevalence","CRDPREV","","","5"
"CA","California","06","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age 45-64","AGE4564",2022,2022,14.7,13,16.6,"14.7","13.00","16.6","%","Crude Prevalence","CRDPREV","","","5"
"CA","California","06","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age >=65","AGE65P",2022,2022,25.2,22.6,28,"25.2","22.6","28.00","%","Crude Prevalence","CRDPREV","","","5"
"CO","Colorado","08","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age 18-44","AGE1844",2022,2022,2.6,2,3.4,"2.6","2.00","3.4","%","Crude Prevalence","CRDPREV","","","5"
"CO","Colorado","08","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","AGE","Age","Age 45-64","AGE4564",2022,2022,10.6,9.4,12,"10.6","9.4","12.00","%","Crude Prevalence","CRDPREV","","","5"
