LocationAbbr,LocationDesc,LocationID,TopicID,DataSource,DataSourceUrl,Question,QuestionID,StratificationCategoryId,StratificationCategory,Stratification,StratificationID,YearStart,YearEnd,DataValue,LowConfidenceLimit,HighConfidenceLimit,DataValueDisplay,LowConfidenceLimitDisplay,HighConfidenceLimitDisplay,DataValueUnit,DataValueType,DataValueTypeID,DataValueFootnote,DataValueFootnoteSymbol,DisplayOrder
"US","United States","59","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2022,2022,10.8,10.6,11,"10.8","10.6","11.00","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AL","Alabama","01","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2022,2022,13.6,12.4,14.9,"13.6","12.4","14.9","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AK","Alaska","02","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2022,2022,8.5,7.6,9.4,"8.5","7.6","9.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AZ","Arizona","04","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2022,2022,11.4,10.4,12.4,"11.4","10.4","12.4","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"AR","Arkansas","05","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2022,2022,14.1,13,15.3,"14.1","13.00","15.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CA","California","06","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2022,2022,10.7,9.8,11.6,"10.7","9.8","11.6","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CO","Colorado","08","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2022,2022,7.6,6.9,8.3,"7.6","6.9","8.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"CT","Connecticut","09","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2022,2022,9.2,8.4,10.1,"9.2","8.4","10.1","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"DE","Delaware","10","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2022,2022,11.9,10.7,13.3,"11.9","10.7","13.3","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
"DC","District of Columbia","11","DIA","BRFSS","https://www.cdc.gov/brfss","Diabetes among adults","DIA01","OVERALL","Overall","Overall","OVR",2022,2022,8.8,7.6,10.1,"8.8","7.6","10.1","%","Age-adjusted Prevalence","AGEADJPREV","","","4"
